,ha,hb,hab,pa,pb,pab_c,pab_d,irr_conj,irr_disj
2403,-0.5,-0.09999999999999998,-0.09999999999999998,0.9999999999999998,0.6545084971874736,0.5102697986577039,0.9380562529563299,-0.14423869852976967,0.061943747043669894
2404,-0.5,-0.09999999999999998,0.0,0.9999999999999998,0.6545084971874736,0.25,0.75,-0.4045084971874736,0.24999999999999978
2405,-0.5,-0.09999999999999998,0.10000000000000009,0.9999999999999998,0.6545084971874736,0.06194374704367034,0.48973020134229606,-0.5925647501438033,0.5102697986577037
2406,-0.5,-0.09999999999999998,0.20000000000000018,0.9999999999999998,0.6545084971874736,0.0004218750578790972,0.23242687698344033,-0.6540866221295946,0.7675731230165594
2407,-0.5,-0.09999999999999998,0.30000000000000004,0.9999999999999998,0.6545084971874736,0.08320524529701309,0.052413159379202635,-0.5713032518904605,0.9475868406207971
2408,-0.5,-0.09999999999999998,0.40000000000000013,0.9999999999999998,0.6545084971874736,0.2863815046433399,0.0016867883172585615,-0.3681269925441337,0.9983132116827412
2409,-0.5,-0.09999999999999998,0.5,0.9999999999999998,0.6545084971874736,0.5512623509313511,0.0949002518802621,-0.1032461462561225,0.9050997481197377
2410,-0.5,-0.09999999999999998,0.6000000000000001,0.9999999999999998,0.6545084971874736,0.8013359195876286,0.30512852980830774,0.146827422400155,0.694871470191692
2411,-0.5,-0.09999999999999998,0.7000000000000002,0.9999999999999998,0.6545084971874736,0.9643672493730618,0.571646111057247,0.3098587521855882,0.4283538889427527
2412,-0.5,-0.09999999999999998,0.8,0.9999999999999998,0.6545084971874736,0.9932642277502748,0.8174685537662261,0.33875573056280117,0.1825314462337737
2413,-0.5,-0.09999999999999998,0.9000000000000001,0.9999999999999998,0.6545084971874736,0.8796798141156824,0.9715887829470102,0.2251713169282088,0.028411217052989546
2414,-0.5,-0.09999999999999998,1.0,0.9999999999999998,0.6545084971874736,0.6564232237067,0.9894886855079641,0.0019147265192264173,0.010511314492035684
2415,-0.5,0.0,-1.0,0.9999999999999998,0.5,0.010511314492036013,0.3435767762932999,-0.489488685507964,0.6564232237066998
2416,-0.5,0.0,-0.9,0.9999999999999998,0.5,0.028411217052989376,0.12032018588431734,-0.4715887829470106,0.8796798141156824
2417,-0.5,0.0,-0.8,0.9999999999999998,0.5,0.1825314462337739,0.006735772249725285,-0.31746855376622607,0.9932642277502745
2418,-0.5,0.0,-0.7,0.9999999999999998,0.5,0.4283538889427527,0.03563275062693823,-0.07164611105724727,0.9643672493730615
2419,-0.5,0.0,-0.6,0.9999999999999998,0.5,0.6948714701916927,0.19866408041237166,0.1948714701916927,0.8013359195876282
2420,-0.5,0.0,-0.5,0.9999999999999998,0.5,0.9050997481197381,0.44873764906864877,0.40509974811973815,0.551262350931351
2421,-0.5,0.0,-0.3999999999999999,0.9999999999999998,0.5,0.9983132116827412,0.7136184953566602,0.49831321168274123,0.28638150464333956
2422,-0.5,0.0,-0.29999999999999993,0.9999999999999998,0.5,0.9475868406207979,0.9167947547029871,0.4475868406207979,0.08320524529701268
2423,-0.5,0.0,-0.19999999999999996,0.9999999999999998,0.5,0.7675731230165596,0.999578124942121,0.26757312301655956,0.00042187505787882884
2424,-0.5,0.0,-0.09999999999999998,0.9999999999999998,0.5,0.5102697986577039,0.9380562529563299,0.010269798657703944,0.061943747043669894
2425,-0.5,0.0,0.0,0.9999999999999998,0.5,0.25,0.75,-0.25,0.24999999999999978
2426,-0.5,0.0,0.10000000000000009,0.9999999999999998,0.5,0.06194374704367034,0.48973020134229606,-0.43805625295632966,0.5102697986577037
2427,-0.5,0.0,0.20000000000000018,0.9999999999999998,0.5,0.0004218750578790972,0.23242687698344033,-0.4995781249421209,0.7675731230165594
2428,-0.5,0.0,0.30000000000000004,0.9999999999999998,0.5,0.08320524529701309,0.052413159379202635,-0.4167947547029869,0.9475868406207971
2429,-0.5,0.0,0.40000000000000013,0.9999999999999998,0.5,0.2863815046433399,0.0016867883172585615,-0.2136184953566601,0.9983132116827412
2430,-0.5,0.0,0.5,0.9999999999999998,0.5,0.5512623509313511,0.0949002518802621,0.05126235093135112,0.9050997481197377
2431,-0.5,0.0,0.6000000000000001,0.9999999999999998,0.5,0.8013359195876286,0.30512852980830774,0.3013359195876286,0.694871470191692
2432,-0.5,0.0,0.7000000000000002,0.9999999999999998,0.5,0.9643672493730618,0.571646111057247,0.46436724937306184,0.4283538889427527
2433,-0.5,0.0,0.8,0.9999999999999998,0.5,0.9932642277502748,0.8174685537662261,0.4932642277502748,0.1825314462337737
